Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Exchange
TFSC,1347 Capital Corp.,9.79,$58.23M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfsc,NASDAQ
TFSCR,1347 Capital Corp.,0.2152,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscr,NASDAQ
TFSCU,1347 Capital Corp.,10.15,$42.43M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscu,NASDAQ
TFSCW,1347 Capital Corp.,0.18,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscw,NASDAQ
PIH,"1347 Property Insurance Holdings, Inc.",7.74,$47.86M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,NASDAQ
FLWS,"1-800 FLOWERS.COM, Inc.",7.68,$498.14M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,NASDAQ
FCTY,"1st Century Bancshares, Inc",7.5,$77.41M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty,NASDAQ
FCCY,1st Constitution Bancorp (NJ),12.43,$93.81M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,NASDAQ
SRCE,1st Source Corporation,33.8,$881.58M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,NASDAQ
VNET,"21Vianet Group, Inc.",20.71,$1.8B,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet,NASDAQ
TWOU,"2U, Inc.",24.58,$1.12B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,NASDAQ
DGLD,3X Inverse Gold ETN Velocityshares,93.9,$12.77M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/dgld,NASDAQ
DSLV,3X Inverse Silver ETN Velocityshares,69.68,$39.5M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/dslv,NASDAQ
UGLD,3X Long Gold ETN Velocityshares,7.61,$7.5M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ugld,NASDAQ
USLV,3X Long Silver ETN Velocityshares,10.8,$21.19M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/uslv,NASDAQ
JOBS,"51job, Inc.",30.74,$1.81B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,NASDAQ
SIXD,"6D Global Technologies, Inc.",2.9,$226.92M,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/sixd,NASDAQ
CAFD,8point3 Energy Partners LP,12.25,$869.78M,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd,NASDAQ
EGHT,8x8 Inc,11.32,$1.01B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,NASDAQ
AVHI,"A V Homes, Inc.",14.1,$315.05M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,NASDAQ
SHLM,"A. Schulman, Inc.",34.17,$1B,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,NASDAQ
AAON,"AAON, Inc.",24.31,$1.31B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,NASDAQ
ABAX,"ABAXIS, Inc.",53.09,$1.21B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,NASDAQ
ABY,Abengoa Yield plc,16.02,$1.61B,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aby,NASDAQ
ABGB,"Abengoa, S.A.",2.64,$443.4M,2013,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/abgb,NASDAQ
ABEO,Abeona Therapeutics Inc.,4.47,$146.32M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo,NASDAQ
ABEOW,Abeona Therapeutics Inc.,1.61,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow,NASDAQ
ABMD,"ABIOMED, Inc.",83.84,$3.56B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,NASDAQ
AXAS,Abraxas Petroleum Corporation,1.32,$140.38M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,NASDAQ
ACTG,Acacia Research Corporation,5.98,$303.4M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,NASDAQ
ACHC,"Acadia Healthcare Company, Inc.",69.34,$4.97B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,NASDAQ
ACAD,ACADIA Pharmaceuticals Inc.,37.51,$3.79B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,NASDAQ
ACST,"Acasti Pharma, Inc.",2.33,$24.84M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,NASDAQ
AXDX,"Accelerate Diagnostics, Inc.",17.28,$773.09M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,NASDAQ
XLRN,Acceleron Pharma Inc.,43.63,$1.45B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,NASDAQ
ANCX,Access National Corporation,21.99,$231.87M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,NASDAQ
ARAY,Accuray Incorporated,7.22,$576.66M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray,NASDAQ
VXDN,AccuShares Spot CBOE VIX Down Shares,23.04,$9.79M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vxdn,NASDAQ
VXUP,AccuShares Spot CBOE VIX Up Shares,17.29,"$734,825",n/a,n/a,n/a,http://www.nasdaq.com/symbol/vxup,NASDAQ
ACRX,"AcelRx Pharmaceuticals, Inc.",5.4,$240M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,NASDAQ
ACET,Aceto Corporation,28.5,$840.81M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet,NASDAQ
AKAO,"Achaogen, Inc.",5.58,$102.42M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao,NASDAQ
ACHN,"Achillion Pharmaceuticals, Inc.",10.04,$1.37B,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn,NASDAQ
ACIW,"ACI Worldwide, Inc.",23.58,$2.79B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,NASDAQ
ACRS,"Aclaris Therapeutics, Inc.",23.24,$468.46M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs,NASDAQ
ACNB,ACNB Corporation,21.88,$132.04M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb,NASDAQ
ACOR,"Acorda Therapeutics, Inc.",37.86,$1.63B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor,NASDAQ
ACTS,"Actions Semiconductor Co., Ltd.",1.91,$111.68M,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts,NASDAQ
ACPW,"Active Power, Inc.",1.54,$35.59M,2000,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/acpw,NASDAQ
ATVI,"Activision Blizzard, Inc",38.57,$28.2B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi,NASDAQ
ACTA,Actua Corporation,11.7,$477.34M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta,NASDAQ
ACUR,"Acura Pharmaceuticals, Inc.",2.51,$29.62M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acur,NASDAQ
ACXM,Acxiom Corporation,22.83,$1.78B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm,NASDAQ
ADMS,"Adamas Pharmaceuticals, Inc.",16.51,$304.15M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms,NASDAQ
ADMP,Adamis Pharmaceuticals Corporation,4.92,$66.08M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp,NASDAQ
ADAP,Adaptimmune Therapeutics plc,9.39,$664.67M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap,NASDAQ
ADUS,Addus HomeCare Corporation,22.91,$254.49M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus,NASDAQ
AEY,"ADDvantage Technologies Group, Inc.",2.25,$22.66M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey,NASDAQ
IOTS,Adesto Technologies Corporation,6.62,$97.85M,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots,NASDAQ
ADMA,ADMA Biologics Inc,9.19,$98.45M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma,NASDAQ
ADBE,Adobe Systems Incorporated,92.53,$46.15B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,NASDAQ
ADTN,"ADTRAN, Inc.",16.46,$815.76M,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn,NASDAQ
